symbol,date,price
Temp,2015-12-25,0
Vandelay,2015-12-25,0
Harper,2015-12-25,0
Harris,2015-12-25,0
Fisher,2015-12-26,0
Arno,2015-12-26,0
Temp,2015-12-26,0
Vandelay,2015-12-26,0
Harper,2015-12-26,0
Harris,2015-12-26,0
Fisher,2015-12-27,0
Arno,2015-12-27,0
Temp,2015-12-27,0
Vandelay,2015-12-27,0
Harper,2015-12-27,0
Harris,2015-12-27,0
Fisher,2015-12-28,2505
Arno,2015-12-28,8626
Temp,2015-12-28,0
Vandelay,2015-12-28,968
Harper,2015-12-28,0
Harris,2015-12-28,19976
Fisher,2015-12-29,2650
Arno,2015-12-29,0
Temp,2015-12-29,0
Vandelay,2015-12-29,167
Harper,2015-12-29,0
Harris,2015-12-29,7403
Fisher,2015-12-30,0
Arno,2015-12-30,0
Temp,2015-12-30,0
Vandelay,2015-12-30,1667
Harper,2015-12-30,100
Harris,2015-12-30,7350
Fisher,2015-12-31,0
Arno,2015-12-31,0
Temp,2015-12-31,0
Vandelay,2015-12-31,1904
Harper,2015-12-31,0
Harris,2015-12-31,3260
Fisher,2016-01-01,0
Arno,2016-01-01,0
Temp,2016-01-01,0
Vandelay,2016-01-01,0
Harper,2016-01-01,0
Harris,2016-01-01,0
Fisher,2016-01-02,0
Arno,2016-01-02,0
Temp,2016-01-02,0
Vandelay,2016-01-02,0
Harper,2016-01-02,0
Harris,2016-01-02,0
Fisher,2016-01-03,0
Arno,2016-01-03,0
Temp,2016-01-03,0
Vandelay,2016-01-03,0
Harper,2016-01-03,0
Harris,2016-01-03,0
Fisher,2016-01-04,3815
Arno,2016-01-04,8794
Temp,2016-01-04,0
Vandelay,2016-01-04,700
Harper,2016-01-04,15
Harris,2016-01-04,3750
Fisher,2016-01-05,3325
Arno,2016-01-05,0
Temp,2016-01-05,0
Vandelay,2016-01-05,1425
Harper,2016-01-05,2915
Harris,2016-01-05,6630
Fisher,2016-01-06,0
Arno,2016-01-06,0
Temp,2016-01-06,0
Vandelay,2016-01-06,717
Harper,2016-01-06,8818
Harris,2016-01-06,0
Fisher,2016-01-07,0
Arno,2016-01-07,0
Temp,2016-01-07,0
Vandelay,2016-01-07,258
Harper,2016-01-07,3026
Harris,2016-01-07,0
Fisher,2016-01-08,0
Arno,2016-01-08,8455
Temp,2016-01-08,0
Vandelay,2016-01-08,1569
Harper,2016-01-08,0
Harris,2016-01-08,0
Fisher,2016-01-09,0
Arno,2016-01-09,0
Temp,2016-01-09,0
Vandelay,2016-01-09,0
Harper,2016-01-09,0
Harris,2016-01-09,0
Fisher,2016-01-10,0
Arno,2016-01-10,0
Temp,2016-01-10,0
Vandelay,2016-01-10,0
Harper,2016-01-10,0
Harris,2016-01-10,0
Fisher,2016-01-11,4085
Arno,2016-01-11,7291
Temp,2016-01-11,0
Vandelay,2016-01-11,1222
Harper,2016-01-11,10943
Harris,2016-01-11,32416
Fisher,2016-01-12,2931
Arno,2016-01-12,0
Temp,2016-01-12,0
Vandelay,2016-01-12,641
Harper,2016-01-12,0
Harris,2016-01-12,6175
Fisher,2016-01-13,0
Arno,2016-01-13,0
Temp,2016-01-13,0
Vandelay,2016-01-13,887
Harper,2016-01-13,7236
Harris,2016-01-13,6550
Fisher,2016-01-14,0
Arno,2016-01-14,0
Temp,2016-01-14,0
Vandelay,2016-01-14,1054
Harper,2016-01-14,5271
